ID,Kategori,Soru,Cevap,Kaynak
95,İlaç-Özel,Dabigatran mekanik kalp kapağı olan hastada kullanılır mı?,"Hayır, kontrendikedir ve ödenmez.",4.2.15.D
96,İlaç-Özel,İvabradin hangi kalp atım hızında başlanır?,Sinüs ritminde ve kalp hızı dakikada 75 ve üzeri olanlarda.,4.2.15.C
97,İlaç-Özel,Levosimendan ayaktan tedavide ödenir mi?,"Hayır, sadece yatarak tedavide ödenir.",4.2.26
98,İlaç-Özel,Fampiridin MS hastalarında ne için kullanılır?,Yürüme yeteneğindeki bozukluğu düzeltmek için.,4.2.34
99,İlaç-Özel,Natalizumab Crohn hastalığı için ödenir mi?,"Hayır, SUT'ta sadece MS için tanımlanmıştır.",4.2.34
100,İlaç-Özel,Teriparatid osteoporozda ömür boyu kullanılabilir mi?,"Hayır, toplam tedavi süresi 18 (veya 24) ayı geçemez.",4.2.17.D
101,Malzeme,CPAP cihazı bedeli SGK tarafından karşılanır mı?,"Evet, Kuruma iade edilmek şartıyla karşılanır.",3.3.6
102,Malzeme,CPAP cihazının geri alınmaması için yıllık minimum kullanım saati nedir?,1200 saat.,3.3.6.A
103,Malzeme,İşitme cihazı yenileme süresi kaç yıldır?,5 yıl.,3.3.35
104,Malzeme,Hasta alt bezi raporunu kim düzenler?,İkinci veya üçüncü basamak sağlık kurumlarındaki uzman hekimler.,3.3.37
105,Malzeme,Günde en fazla kaç adet hasta alt bezi ödenir?,4 adet.,3.3.37
106,Malzeme,5 yaşındaki çocuğa koklear implant takılabilir mi?,"Evet, kriterleri karşılıyorsa (ileri derecede işitme kaybı vb.) takılabilir.",3.3.36
107,Malzeme,Koklear implant pilleri ödenir mi?,"Evet, yıllık belirli bir tutarda ödenir.",3.3.36
108,Malzeme,Akülü tekerlekli sandalye yenileme süresi nedir?,5 yıl.,3.3.6
109,Malzeme,Hidrofilik sondalar (TAK sondası) ödenir mi?,"Evet, nörojenik mesane gibi durumlarda ödenir.",3.3.5
110,Malzeme,İşitme cihazı pili için hastalara nakit ödeme yapılır mı?,"Evet, şahıs ödemesi şeklinde yapılabilir.",3.3.35
111,Malzeme,Evde kullanılmak üzere Vakum Yardımlı Yara Kapama (VAC) seti ödenir mi?,"Evet, belirli yara evrelerinde sağlık kurulu raporu ile ödenir.",3.3.1
112,Malzeme,Tip 2 diyabet hastası (insülin kullanan) için ayda kaç şeker ölçüm çubuğu ödenir?,150 adet.,3.3.2
113,Malzeme,Sadece hap kullanan diyabet hastası için 3 ayda kaç şeker ölçüm çubuğu ödenir?,100 adet.,3.3.2
114,Malzeme,Miyoelektrik kol protezi kimlere ödenir?,İki taraflı kol amputasyonu olanlara veya işlevsel gerekliliği kanıtlananlara.,3.3.3
115,Malzeme,Kozmetik amaçlı kontakt lens ödenir mi?,Hayır.,3.3.3.C
116,Malzeme,Albinizm hastaları için güneş kremi ödenir mi?,"Evet, aylık belirli bir limite kadar ödenir.",4.2.39
117,Malzeme,Ev tipi ventilatör cihazı ödenir mi?,"Evet, kronik solunum yetmezliği olanlarda iade alınmak kaydıyla verilir.",3.3.6
118,Malzeme,Manuel tekerlekli sandalye yenileme süresi nedir?,5 yıl.,3.3.6
119,Malzeme,Nebulizatör cihazı bedeli karşılanır mı?,"Evet, uzman hekim raporu ile.",3.3.6
120,Malzeme,Bir hasta hem Oksijen Konsantratörü hem CPAP kullanabilir mi?,"Evet, her iki cihaz için de tıbbi endikasyon varsa (örn. KOAH + Uyku Apnesi).",3.3.6
121,Malzeme,Kolostomi torbası için rapor süresi ne kadardır?,Genellikle 2 yıldır.,3.1.2
122,Malzeme,Varis çorabı ödenir mi?,"Evet, kalp damar cerrahisi veya ilgili uzman raporu ile.",3.3.9
123,Malzeme,Yanık bası giysisi ödenir mi?,"Evet, 2. ve 3. derece yanıklardan sonra hipertrofik skar riskinde.",3.3.9
124,Malzeme,Tekerlekli sandalye aküsü biterse yenisi ödenir mi?,"Evet, belirli periyotlarla akü değişimi karşılanır.",3.3.6
125,Malzeme,Havalı yatak bedeli ödenir mi?,"Evet, yatalak hastalarda bası yarasını önlemek için.",3.3.6
126,Tedavi,Fizik tedavide bir bölge için yılda en fazla kaç seans ödenir?,30 seans.,2.4.4.F
127,Tedavi,Serebral Palsi (G80) hastalarında fizik tedavi seans sınırı var mıdır?,"Hayır, 30 seans sınırı uygulanmaz, daha fazla seans ödenebilir.",2.4.4.F
128,Tedavi,Ani işitme kaybında Hiperbarik Oksijen Tedavisi ödenir mi?,"Evet, erken dönemde başvurulursa ödenir.",2.4.4.B
129,Tedavi,Otizm tedavisinde Hiperbarik Oksijen ödenir mi?,"Hayır, SUT endikasyonları arasında yoktur.",2.4.4.B
130,Tedavi,Diyaliz hastaları haftada en fazla kaç seans hemodiyalize girebilir?,Genellikle haftada 3 seans ödenir.,2.4.4.D
131,Tedavi,Miyopi için Excimer Lazer (Göz çizdirme) ödenir mi?,"Hayır, refraktif cerrahi kozmetik kabul edilir ve ödenmez.",2.4.4.I
132,Tedavi,Obezite cerrahisi (Tüp Mide) hangi vücut kitle indeksinde (VKİ) ödenir?,VKİ > 40 olmalı veya VKİ 35-40 olup ek hastalığı bulunmalı.,2.4.4.O
133,Tedavi,Robotik Rehabilitasyon (Yürüme Robotu) ödenir mi?,"Evet, belirli nörolojik hastalıklarda ek ödeme olarak karşılanır.",2.4.4.F-5
134,Tedavi,Sünnet işlemi SGK tarafından karşılanır mı?,"Evet, cerrahi işlem olarak karşılanır.",2.4.3
135,Tedavi,Evde Sağlık Hizmetleri kapsamında doktor muayenesi ödenir mi?,"Evet, ödenir.",2.1.1.A
136,Tedavi,ESWL (Böbrek taşı kırma) işlemi yılda en fazla kaç seans ödenir?,Taş başına en fazla 3 seans (veya belirli prosedür sınırı).,2.4.4.A
137,Tedavi,Cyberknife (Radyocerrahi) tedavisi ödenir mi?,"Evet, belirli tümörlerde ödenir.",2.4.4.C
138,Tedavi,PET-BT çekimi hangi durumlarda ödenir?,"Kanser evrelemesi, yeniden evreleme ve tedaviye yanıtın değerlendirilmesinde.",2.4.4.H
139,Tedavi,Terapötik Aferez işlemleri ödenir mi?,"Evet, hematolojik hastalıklarda endikasyon dahilinde ödenir.",2.4.2
140,Tedavi,Kök hücre nakli bedeli ödenir mi?,"Evet, ruhsatlı merkezlerde yapılması şartıyla ödenir.",2.4.2
141,Tedavi,Alerji deri testleri ödenir mi?,"Evet, alerji ve immünoloji uzmanlarınca yapıldığında ödenir.",2.4.3
142,Tedavi,Genetik testler (BRCA vb.) ödenir mi?,"Evet, Genetik Hastalıklar Tanı Merkezlerinde yapıldığında ödenir.",2.4.4.G
143,Tedavi,Palyatif bakım merkezinde yatış ücreti ödenir mi?,Evet.,2.4.4.K
144,Tedavi,Ağrı tedavisinde epidural enjeksiyon ödenir mi?,"Evet, Algoloji veya Anestezi uzmanı tarafından yapıldığında ödenir.",2.4.4.L
145,Tedavi,Omurga cerrahisinde intraoperatif nöromonitorizasyon ödenir mi?,Evet.,2.4.4.M
146,Fatura,Acil serviste 'Yeşil Alan' muayenesi için fark ücreti alınabilir mi?,"Hayır, ancak katılım payı tahsil edilir.",1.8.5
147,Fatura,Aynı il içinde yapılan sevklere yol parası ödenir mi?,"Genellikle hayır, yerleşim yeri dışına sevklerde ödenir.",2.6.1
148,Fatura,Yoğun bakımda yatan hastanın refakatçisine gündelik ödenir mi?,"Hayır, yoğun bakımda refakatçi kalamayacağı için ödenmez.",2.6.2
149,Fatura,"Ameliyatlarda kullanılan sarf malzemeler (eldiven, gazlı bez) hastaya fatura edilir mi?","Hayır, paket fiyat veya işlem puanına dahildir.",2.2.2
150,Fatura,Mutat taşıt (otobüs) ile sevklerde bilet ibrazı zorunlu mudur?,"Hayır, rayiç bedel üzerinden ödenir.",2.6.1.B
151,Fatura,Hava ambulansı ücreti ödenir mi?,"Evet, organ nakli veya uzuv kopması gibi acil durumlarda ödenir.",2.6.1.B-3
152,Fatura,Cenaze nakil ücreti ödenir mi?,"Evet, sevkli hastanın tedavi sırasında vefatı halinde ödenir.",2.6.8
153,Fatura,Üniversite hastanelerinde öğretim üyesi farkı alınabilir mi?,"Evet, mesai dışı öğretim üyesi muayenelerinde ilave ücret alınabilir.",1.9.1
154,Fatura,Özel hastanede tek kişilik odada yatış için fark alınır mı?,"Evet, otelcilik hizmeti farkı alınabilir.",1.9.4
155,Fatura,SUT fiyatlarına KDV dahil midir?,"Hayır, fiyatlar genellikle KDV hariçtir.",6.1
156,Fatura,İş kazası reçetelerini kim öder?,SGK (kısa vadeli sigorta kolları) öder.,1.2
157,Fatura,Diyaliz hastaları için yol parası ödenir mi?,"Evet, servis yoksa mutat taşıt ücreti ödenir.",2.6.1.A
158,Fatura,"Diş protez ücreti hastaya mı, merkeze mi ödenir?",Sözleşmeli merkez ise merkeze ödenir.,2.4.1.A
159,Fatura,Özel hastanede acil serviste 'Kırmızı Alan' hastasından ücret alınır mı?,"Hayır, kırmızı alan hastalarından ilave ücret alınamaz.",2.3
160,Fatura,Yatarak tedavide ilaç parası hastadan istenir mi?,"Hayır, hastane temin etmek zorundadır.",4.1.2
161,Fatura,Eczane indirimi reçete bedelinden düşülür mü?,Evet.,4.4.1
162,Fatura,Günde birden fazla fizik tedavi seansı fatura edilebilir mi?,"Genellikle hayır, günde 1 seans ödenir.",2.4.4.F
163,Fatura,Kemoterapi tedavisi için ilave ücret alınabilir mi?,"Hayır, kanser tedavileri ilave ücretten muaftır.",1.9.3
164,Fatura,İstisnai sağlık hizmetlerinde ilave ücret sınırı nedir?,SUT fiyatının 3 katına kadar alınabilir.,1.9.5
165,Fatura,Akıllı lens (trifokal mercek) farkı ödenir mi?,"Hayır, SGK sadece standart (monofokal) mercek bedelini öder.",3.3.3
166,Fatura,Refakatçi ücreti ne zaman ödenir?,Tıbben gerekli görüldüğü belgelenirse yatak ve yemek gideri olarak ödenir.,2.6.3
167,Fatura,Günübirlik tedavilerde (örn. kemoterapi) refakatçi ücreti ödenir mi?,"Hayır, günübirlik işlemlerde refakatçi ödenmez.",2.2.2
168,Fatura,Yurtdışı sigortalılarının (Almanya vb.) tedavisi SGK kapsamında mıdır?,"Evet, YUPASS üzerinden provizyon alınarak karşılanır.",1.7.1
169,Fatura,Trafik kazasında tedavi giderlerini sigorta şirketi mi SGK mı öder?,"İlk müdahale ve tedavi giderlerini SGK karşılar, sonra rücu edebilir.",1.7
170,Fatura,İlaç katılım payı emeklilerden nasıl tahsil edilir?,Emekli maaşından kesilir.,1.8.2
171,İstisna,Nusinersen (Spinraza) ilacı SMA Tip-2 hastaları için ödenir mi?,"Evet, belirli kriterler sağlandığında ödenir.",4.2.49.B
172,İstisna,Valbenazin hangi hastalıkta ödenir?,Tardif Diskinezi tedavisinde (ilgili maddeye bakılmalı).,4.2
173,İstisna,Hepatit C Genotip 2 hastalarında Ombitasvir kullanılır mı?,"Hayır, genellikle Genotip 1 ve 4 için kullanılır.",4.2.13.3
174,İstisna,"Crizotinib, ROS1 pozitif akciğer kanserinde ödenir mi?",Evet.,4.2.14.C
175,İstisna,Botoks migren için hangi ICD kodu ile girilmelidir?,G43 (Kronik Migren).,4.2.19
176,İstisna,"Ruksolitinib, Polistemia Vera tedavisinde ödenir mi?","Evet, hidroksiüreye dirençli vakalarda.",4.2.14.C
177,İstisna,"Pazopanib, Sarkom tedavisinde kullanılır mı?",Evet.,4.2.14.C
178,İstisna,Atipik HÜS hastasında Eculizumab başlama kriteri nedir?,ADAMTS13 aktivitesinin %5'in üzerinde olması.,4.2.12.B
179,İstisna,İbrutinib Mantle Hücreli Lenfomada ödenir mi?,Evet.,4.2.14.C
180,İstisna,Obinutuzumab Foliküler Lenfomada ödenir mi?,Evet.,4.2.14.C
181,İstisna,"Venetoklaks, KLL hastasında hangi genetik bozukluk varsa ödenir?",17p delesyonu veya TP53 mutasyonu varsa.,4.2.14.C
182,İstisna,"Palbosiklib, Üçlü Negatif Meme Kanserinde ödenir mi?","Hayır, Hormon Reseptör Pozitif (HR+) olmalıdır.",4.2.14.C
183,İstisna,Ribosiklib meme kanserinde ödenir mi?,"Evet, Palbosiklib ile benzer endikasyonlarda.",4.2.14.C
184,İstisna,Atezolizumab hangi kanser türlerinde ödenir?,Ürotelyal kanser ve Küçük Hücreli Dışı Akciğer Kanseri (belirli şartlarda).,4.2.14.C
185,İstisna,Pembrolizumab Melanom tedavisinde ödenir mi?,Evet.,4.2.14.C
186,İstisna,Dev Hücreli Arterit tedavisinde Tosilizumab ödenir mi?,Evet.,4.2.1.C-5
187,İstisna,Ankilozan Spondilitte Sekukinumab ödenir mi?,"Evet, Anti-TNF dirençli hastalarda.",4.2.1.C-9
188,İstisna,Ustekinumab Crohn hastalığında ödenir mi?,Evet.,4.2.1.C-4
189,İstisna,Vedolizumab Ülseratif Kolit tedavisinde ödenir mi?,Evet.,4.2.1.C-8
190,İstisna,Tofasitinib RA tedavisinde ne zaman kullanılır?,Anti-TNF tedavisine yanıt alınamadığında.,4.2.1.C-6
191,İstisna,Teriflunomid MS tedavisinde ödenir mi?,Evet.,4.2.34
192,İstisna,Dimetil Fumarat MS tedavisinde ödenir mi?,Evet.,4.2.34
193,İstisna,Alemtuzumab MS tedavisinde ne zaman kullanılır?,Yüksek hastalık aktivitesi olan hastalarda.,4.2.34
194,İstisna,Okrelizumab (Ocrevus) hangi MS tipinde ödenir?,Primer Progresif MS (PPMS) veya Relapsing MS.,4.2.34
195,İstisna,Kladribin MS tedavisinde ödenir mi?,Evet.,4.2.34
196,İstisna,Vigabatrin epilepsi tedavisinde ödenir mi?,Evet.,4.2.25
197,İstisna,Levetirasetam profilaksi amaçlı kullanılır mı?,"Evet, kranial cerrahi sonrası vb. durumlarda.",4.2.25
198,İstisna,Zonisamid epilepsi tedavisinde ödenir mi?,Evet.,4.2.25
199,İstisna,Lakosamid hangi tür nöbetlerde ödenir?,Parsiyel başlangıçlı nöbetlerde.,4.2.25
200,İstisna,Perampanel epilepsi tedavisinde ödenir mi?,Evet.,4.2.25
