ID,Kategori,Soru,Cevap,Kaynak
1,Kolay,Yabancı ülkelerle yapılan sosyal güvenlik sözleşmeleri kapsamında Kurum sağlık yardımlarından yararlandırılan kişilerin sağlık hizmetleri nasıl gerçekleştirilir?,MEDULA sistemi üzerinden provizyon alınarak gerçekleştirilecektir.,1.7
2,Zor,Yabancı ülkelerle yapılan sosyal güvenlik sözleşmesi kapsamında iş kazası ve meslek hastalığı sigortaları ve tedavi edilmek üzere Türkiye'ye gönderilen sigortalıların hangi tedavi masrafları Kurumca karşılanmaz?,"YUPASS provizyon sisteminde ""açıklamalar"" bölümünde belirtilen hastalıklar dışındaki tedavi masrafları.",1.7
3,Kolay,Azasitidin hangi uzman hekimler tarafından reçete edilebilir?,Hematoloji uzman hekimleri tarafından.,4.2
4,Zor,Miyelodisplastik Sendromda (MDS) görülen dirençli anemi tedavisinde decitabinin kullanılabilmesi için kemik iliği blast oranının hangi değerin üzerinde artmış olması gerekmektedir?,%5'in üzerinde.,4.2
5,Kolay,Gözlük cam ve çerçeve reçetesi hangi uzman hekimler tarafından düzenlenebilir?,Göz sağlığı ve hastalıkları uzman hekimleri ile bu dalda ihtisas yapan asistan hekimler.,3.3
6,Zor,"Kişinin 16 yaşında olması durumunda, gözlük camı ve çerçevesinin miat süresi ne kadardır ve hangi durumda bu süre dolmadan yenilenebilir?","2 yıldır. Kırma kusurunun 0,5 diyoptrilik değişiklik göstermesi halinde süresinden önce yenilenebilir.",3.3
7,Kolay,"Yurt dışında tedavi giderleri Kurumun ödediği tutarları aşarsa, aşan kısım kim tarafından karşılanır?",İşverenlerce karşılanır.,2.5
8,Zor,"Yurt dışına görevlendirilen kişilerin sağlık hizmetlerinin Kurumca ilgili ülkede sağlık sigortası yaptırmak suretiyle sağlanması durumunda, sağlık hizmeti giderleri ödenir mi?",Ödenmez.,2.5
9,Kolay,Lizozomal hastalıklar için düzenlenen sağlık kurulu raporunun süresi ne kadardır?,1 yıldır.,4.2
10,Zor,Lizozomal hastalıklar için sağlık kurulu raporunda bulunması gereken hekimler hangi branşlardan olabilir ve bu hekimlerin bulunmadığı yerlerde reçete düzenleme yetkisi hangi uzman hekimlere aittir?,"Gastroenteroloji, çocuk metabolizma, çocuk endokrinolojisi ve metabolizma hastalıkları veya nöroloji uzman hekimleri. Bu hekimlerin bulunmadığı yerlerde ise çocuk sağlığı ve hastalıkları veya iç hastalıkları uzman hekimlerince reçete düzenlenir.",4.2
11,Kolay,Büyüme hormonu tedavisine başlama kriterlerinden biri nedir?,Boy (-3) standart sapmanın altında olmalıdır.,4.2
12,Zor,"Büyüme hormonu tedavisine başlama kriterleri sağlanmış olsa bile, bu tedavi neyin yerine kullanılmaz?",Büyüme hormonu tedavisinin yerine kullanılmaz.,4.2
13,Kolay,Kanser tedavisinde kullanılacak ilaçlar için gerekli sağlık kurulu raporunda bulunması gereken uzmanlık alanları nelerdir?,"Tıbbi onkoloji, hematoloji veya dermatoloji uzmanları.",4.2
14,Zor,"Kanser tedavisinde ilaç kullanımına ilişkin sağlık kurulu raporunda, tıbbi onkoloji veya hematoloji uzman hekimi yoksa, kaç dermatoloji uzmanının yer alması gerekir?",3 dermatoloji uzmanı.,4.2
15,Kolay,Kseroderma pigmentosum ve albinizm tedavisinde kullanılan güneşten koruyucu kremler hangi uzman hekim tarafından reçete edilebilir?,Cilt hastalıkları uzman hekimlerince.,4.2
16,Zor,Kseroderma pigmentosum ve albinizm tedavisinde kullanılan güneş kremlerinin özellikleri neler olmalıdır?,"UVA ve UVB ışınlarını bloke eden, SPF en az 30 olan, fiziksel (çinko oksit veya titanyum dioksit içeren) ve/veya kombine filtre içeren özelliklerde olmalıdır.",4.2
17,Kolay,Kırma kusurunda kaç diyoptrilik değişiklik olması halinde gözlük camı süresinden önce yenilenebilir?,"0,5 diyoptrilik.",3.3
18,Zor,15 yaşındaki bir bireyin gözlük camının süresinden önce yenilenmesi için silendirik değerinde ne kadar değişiklik olması gerekir?,"Metinde 14 yaş ve altı için bilgi bulunmaktadır, 15 yaş için bilgi bulunmamaktadır.",3.3
19,Kolay,Faktör kullanımı için hastaya düzenlenecek ilk rapor hangi basamak sağlık hizmeti sunucularında düzenlenmelidir?,Üçüncü basamak resmi sağlık hizmeti sunucularında.,4.2
20,Zor,Hangi tarihten itibaren faktör kullanımı için hastaya düzenlenecek ilk raporun üçüncü basamak resmi sağlık hizmeti sunucularında düzenlenmesi zorunluluğu getirilmiştir?,09/11/2024,4.2
21,Kolay/Doğrudan,Hasta alt bezi/külotlu hasta alt bezi için düzenlenecek uzman hekim raporunun süresi en fazla ne kadar olabilir?,2 (iki) yıl.,3.3
22,Zor/Dolaylı,19 yaşındaki bir hasta için hasta alt bezi hangi SUT kodu ile ödenir?,A10049,3.3
23,Kolay,"Sağlık hizmeti sunucuları faturalarını düzenlerken, hasta takip numarası/provizyon alınan kişilere sunulan sağlık hizmetleri hangi numara ile takip edilir?",Provizyon Aktivasyon ve Sağlık Sistemi (YUPASS) numarası ile.,5.2
24,Zor,Hangi durumlarda sunulan sağlık hizmetleri için faturalar manuel olarak düzenlenebilir?,Yerleşim yeri dışı sunulan ambulans hizmetlerinde (MEDULA sisteminde gerekli düzenlemeler yapılıncaya kadar).,5.2
25,Kolay,Tofacitinib veya upadasitinib reçetesi hangi uzman hekimler tarafından yazılabilir?,Romatoloji uzman hekimleri veya iç hastalıkları uzman hekimleri.,4.2
26,Zor,"Upadasitinibin Crohn hastalığında kullanımında, tedaviye başlanabilmesi için anti-TNF ajanının ne kadar süreyle kullanılmış olması gerekmektedir ve bu sürede hastalık aktivitesi kontrol altına alınamazsa ne olmalıdır?",En az 3 ay süreyle kullanılmış olmasına rağmen hastalık aktivitesi kontrol altına alınamaması gerekir.,4.2
27,Kolay,Hiperbarik oksijen tedavisine raporun düzenlenme tarihinden itibaren en geç kaç gün içerisinde başlanmalıdır?,10 gün,2.4
28,Zor,"Hangi durumlarda, tedavinin başladığı gün dahil olmak üzere en fazla 7 gün boyunca günde birden fazla seans hiperbarik oksijen tedavisi bedeli kurumca karşılanır?",Ani işitme kaybı ve acil hastalarda,2.4
29,Kolay,Sorafenib'i hangi uzmanlar reçete edebilir?,Tıbbi onkoloji uzmanları.,4.2
30,Zor,Metastatik hepatosellüler kanserde sorafenib birinci basamakta hangi durumda kullanılabilir?,Hastanın kemoterapiye engel olacak bir durumu var ise.,4.2
31,Kolay,Hangi uzmanlık dallarındaki hekimler ESWT tedavisi için rapor düzenleyebilir?,"Fiziksel tıp ve rehabilitasyon, ortopedi ve travmatoloji ile spor hekimleri.",2.4
32,Zor,Bir hastaya bir yıl içinde ESWT tedavisi en fazla kaç farklı vücut bölgesine uygulanabilir?,2,2.4
33,Kolay,İcmal listesi MEDULA hastane sistemi üzerinden gönderilirken her uzmanlık dalı için nasıl düzenlenmelidir?,Ayrı ayrı düzenlenmiş olmalıdır.,5.3
34,Zor,Ailenin Korunması ve Kadına Karşı Şiddetin Önlenmesine Dair Kanun hükümlerine göre hakkında koruyucu tedbir kararı verilen kişilerin icmal listesinde hangi bilgisi yer almaz?,Hasta adı soyadı.,5.3
35,Zorluk Derecesi (Kolay),Santral retinal arter tıkanıklığında HBO tedavi bedelinin ödenebilmesi için tanı konulduktan sonra en geç kaç gün içinde HBO tedavisine başlanmalıdır?,5 gün,2.4
36,Zorluk Derecesi (Zor),"Ani işitme kaybı için uygulanan HBO tedavisinde, 20. seans sonunda tedavi bedellerinin ödenmeye devam etmesi için saf ses ortalamasında en az kaç dB'lik bir düzelme olması gerekmektedir?",20 dB,2.4
37,Kolay,Levosimendan hangi durumlarda kullanılabilir?,"Akut kalp yetmezliği, dekompanse kalp yetmezliğinin akut dönemindeki yatan hastalar için veya invaziv hemodinamik monitarizasyon yapılabildiği yoğun bakım ünitelerinde yatan hastalar için.",4.2
38,Zor,Levosimendan ve milrinon reçeteleri hangi uzmanlık alanlarından hekimler tarafından düzenlenebilir?,"Kardiyoloji, kalp damar cerrahisi, anestezi ve reanimasyon, iç hastalıkları, yoğun bakım ile acil uzman hekimleri.",4.2
39,Kolay,Yoğun bakım tedavisi için özel sağlık hizmeti sunucularına sevk hangi koşulda yapılabilir?,Resmi sağlık hizmeti sunucularında uygun yoğun bakım yatağının bulunmaması ve hasta naklinin 112 Komuta Kontrol Merkezi koordinasyonunda gerçekleştirilmesi koşuluyla.,1.5
40,Zor,Özel sağlık hizmeti sunucusuna yoğun bakım tedavisi için yapılan sevkin geçerli sayılması için hangi belge gereklidir?,Naklin 112 Komuta Kontrol Merkezi koordinasyonunda gerçekleştiğini gösterir belge.,1.5
41,Kolay,Kulak kepçesi protezi hangi hekimler tarafından uygulanması halinde bedeli Kurumca karşılanır?,"Kulak, burun ve boğaz veya plastik, rekonstrüktif ve estetik cerrahi hekimlerince.",3.3
42,Zor,Kulak kepçesi protezinin yenilenmesi durumunda sağlık kurulu raporunu hangi uzmanlar düzenler?,İlgili dal uzmanlarınca.,3.3
43,Kolay,Yurt dışında tedavi hangi başlık altında incelenmektedir?,2.5,Bilinmiyor
44,Zor,Yol ve gündelik giderleri ile ilgili esaslar hangi başlık altında yer almaktadır?,2.6.1,Bilinmiyor
45,Kolay,"Prematüre Retinopatisi tedavisinde intravitreal bevacizumab uygulamasından sonra cevap alınamayan ve vasküler aktivitesi devam eden olgulara, bevacizumabtan en az kaç hafta sonra tekrar bevacizumab uygulanabilir?",4 hafta,4.2
46,Zor,"Prematüre Retinopatisi (ROP) tedavisinde, 1 doz intravitreal bevacizumab uygulanıp cevap alınamayan hastalarda, ikinci doz bevacizumab uygulaması için sağlık kurulu raporunda bulunması gereken uzman hekimlerden en az biri hangi branştan olmalıdır?",Göz hastalıkları,4.2
47,Zorluk Derecesi (Kolay/Zor),Sağlık Bakanlığı dışındaki resmi sağlık hizmeti sunucularına yapılan hemodiyaliz amaçlı sevkler ne kadar süreyle geçerlidir?,3 ay,1.5
48,Zorluk Derecesi (Kolay/Zor),"Hemodiyaliz amaçlı sevklerde, sürenin bitiminde ne yapılması gerekmektedir?",Sevk belgesinin yenilenmesi,1.5
49,Kolay,Lizozomal hastalıklar için düzenlenen sağlık kurulu raporunun süresi ne kadardır?,6 aydır.,4.2
50,Zor,"Lizozomal hastalıklar için tedavi gören bir hastanın reçetesi, ilgili uzman hekimlerin bulunmadığı durumlarda hangi uzman hekimler tarafından düzenlenebilir?",Çocuk sağlığı ve hastalıkları veya iç hastalıkları uzman hekimlerince.,4.2
51,Kolay,Birinci basamak özel sağlık hizmeti sunucularına dahil olan kuruluşlardan biri nedir?,Özel poliklinikler,1.3
52,Zor,"6197 sayılı kanun kapsamında serbest faaliyet gösteren eczaneler, hangi tür sağlık hizmeti sunucuları içerisinde değerlendirilir?",Birinci basamak özel sağlık hizmeti sunucuları,1.3
53,Kolay,Ivabradin hangi uzmanlar tarafından reçete edilebilir?,Kardiyoloji uzmanı veya iç hastalıkları uzmanı.,4.2
54,Zor,Kronik kalp yetmezliği tedavisinde ivabradin kullanımının hangi durumlarda kardiyoloji uzmanlarınca düzenlenen 1 yıl süreli uzman hekim raporuna dayanılarak reçete edilebileceği belirtilmiştir?,"Beta blokör tedavisi dahil standart tedavi ile kombinasyon halinde, Beta blokör kontrendikasyonu olan veya Beta blokör tedavisine intoleransı olan.",4.2
55,Kolay,Rituksimab nüks gelişmesi durumunda hastalara en erken ne kadar süre sonra tekrar verilebilir?,16 haftadan daha erken olmamak kaydıyla.,4.2
56,Zor,"Rituksimab raporunda, ilacın bedelinin kurumca karşılanması için hastanın PDAİ skoru ve yanıt değerlendirmesi ile ilgili hangi bilgilerin belirtilmesi gerekmektedir?",Hastanın PDAİ skorunun ve yanıt değerlendirmesi sonucu yeni lezyon çıkışının olmadığının ve mevcut lezyonlarda küçülme olduğunun belirtilmesi gerekmektedir.,4.2
57,Kolay,SUT eki EK-2/C Listesinde yer alan bir işlemin bedeli nasıl faturalandırılır?,Tanıya dayalı işlem üzerinden ödeme yöntemi ile faturalandırılır.,2.1
58,Zor,"Hangi sağlık hizmeti sunucuları, SUT eki EK-2/A-2 Listesinde yer alan işlemleri işlem puanlarına %10 oranında ilave ederek faturalandırabilir?","Sağlık Bakanlığına bağlı eğitim ve araştırma hastaneler, Tıp Fakülteleri Bulunan Devlet Üniversiteleri Sağlık Uygulama ve Araştırma Merkezleri, Tıp Fakülteleri Bulunan Vakıf Üniversiteleri Sağlık Uygulama ve Araştırma Merkezleri.",2.1
59,Kolay,Aile hekimliği uzman hekimleri hangi ilaçları reçete edebilir?,"Yetkilendirilen hekimler, aile hekimliği uzman hekiminin yazabildiği tüm ilaçları reçete edebilirler.",4.1
60,Zor,"Sağlık raporuna istinaden reçete edilecek ilaçlar, SUT ve eki listelerde aksi belirtilmedikçe kimler tarafından reçete edilebilir?",Bu sağlık raporuna dayanılarak tüm hekimler tarafından reçete edilebilir.,4.1
61,Kolay,Foliküler lenfomalı hastaların tedavisinde rituksimab ile kombinasyon halinde tedavi süresi en fazla ne kadardır?,1 yıldır.,4.2
62,Zor,Erlotinib hangi gen mutasyonları veya delesyonları gösterilmiş metastatik nonskuamöz küçük hücreli dışı akciğer kanseri hastalarında kullanılabilir?,Epidermal büyüme faktörü reseptörü (EGFR) gen exon 19 delesyonu ve/veya exon 21 (L858R) mutasyonu.,4.2
63,Kolay,Romatoid artritli erişkin hastalarda anti-TNF ilaçlara başlanabilmesi için Hastalık Aktivite Skoru (DAS) 28 değeri kaçın üzerinde olmalıdır?,"5,1",4.2
64,Zor,Anti-TNF ilaç tedavisine başlandıktan sonra tedavinin devam edebilmesi için 3 ay sonra yapılan değerlendirmede DAS 28 skorunda sertolizumab kullanan hastalarda en az ne kadar düşme olması gerekmektedir?,"1,2 puandan fazla",4.2
65,Kolay,Lizozomal hastalıklar için enzim tedavisine devam edilebilmesi için tedavi başlangıcında kaydedilen değerlerde kötüleşme oranı en fazla ne kadar olmalıdır?,%30,4.2
66,Zor,Hangi durumda lizozomal hastalıklar için uygulanan enzim tedavisi sonlandırılır?,Devam kriterlerini karşılayamayan hastalarda.,4.2
67,Kolay,İloprost hangi uzman hekimler tarafından reçetelenir?,Romatoloji veya klinik immünoloji uzman hekimlerince.,4.2
68,Zor,"Bosentan kullanımında, tedaviye başlanabilmesi için gerekli olan minimum dijital ülser sayısı kaçtır ve bu ülserlerden kaç tanesi kardinal ülser olmalıdır?",En az 4 adet dijital ülser ve en az 1 tanesi kardinal ülser olmalıdır.,4.2
69,Kolay,Ekstrakorporeal fotoferez tedavisi hangi durumlarda uygulandığında Kurumca karşılanır?,"Kutanöz T hücreli lenfomalarda, Graft Versus Host Hastalığı, Sezary Sendromu, Pemfigus Vulgaris, Psöriasis ve solid organ nakillerinde doku reddinin önlenmesi (kalp, akciğer, böbrek nakillerinde) nedenleriyle uygulandığında.",2.4
70,Zor,Kemik İliği/Organ Nakil Merkezi ve Terapötik Aferez Merkezi ruhsatı olan ikinci basamak sağlık hizmeti sunucuları hangi durumda ekstrakorporeal fotoferez tedavisi için sağlık kurulu raporu düzenleyebilir?,"Sadece Graft Versus Host Hastalığı veya solid organ nakillerinde doku reddinin önlenmesi (kalp, akciğer, böbrek nakillerinde) için.",2.4
71,Kolay,"Sağlık Bakanlığına bağlı eğitim ve araştırma hastanelerine bağlı semt poliklinikleri, üçüncü basamak resmi sağlık hizmeti sunucuları arasında sayılır mı?","Evet, sayılır.",1.3
72,Zor,"SUT'a göre, üçüncü basamak resmi sağlık hizmeti sunucusu olarak kabul edilen ve diş hekimliği fakültesi bulunduran bir üniversite hastanesi, aynı zamanda Sağlık Bakanlığınca üçüncü basamak hastane olarak basamaklandırılan bir Sağlık Bakanlığına bağlı hastane olabilir mi?","Evet, olabilir.",1.3
73,Kolay,Adjuvan aromataz inhibitörü tedavisi devam ederken ya da tamamlandıktan sonraki 12 ay içinde nüks/metastaz görülen hastalarda fulvestrant ile kombine olarak ilaç kullanılması halinde bedelleri kurumca karşılanır mı?,"Evet, karşılanır.",4.2
74,Zor,Rapor süresinin sonunda tedavinin devamı için düzenlenecek yeni raporda belirtilmesi gereken husus nedir?,Hastalıkta progresyon olmadığı.,4.2
75,Kolay,Trakeobronşiyal stentlerin bedeli hangi sağlık hizmeti sunucularında düzenlenen sağlık kurulu raporuna istinaden Kurumca karşılanır?,Üçüncü basamak resmi sağlık hizmeti sunucularında.,3.3
76,Zor,Hangi durumlarda trakeobronşiyal stentlerin bedelleri Kurumca karşılanır?,"Trakeobronşiyal malign darlıklarda, trakeobronşiyal benign darlıklarda ve trakea özefageal fistüllerde kullanılmaları halinde.",3.3
77,Kolay,Turner sendromunda somatropin kullanımında hangi durumlarda tedavi kesilir?,"Kontrol edilemeyen diyabet, tedavi edilemeyen obstrüktif uyku apnesi, aktif kanser, aktif psikoz, progresyon gösteren skolyoz durumlarında tedavi kesilir.",4.2
78,Zor,"Çocuklarda KBY ile ilişkili büyüme bozukluklarında somatropin kullanımında, büyüme hormonu tedavisine başlanması için hastanın hangi KBY evrelerinde olması ve ne kadar süredir diyalizde olması gerekmektedir?","KBY evresi evre III, IV, V olan veya 6 aydan fazla süredir diyalizde olması gerekmektedir.",4.2
79,Kolay,Çocuklar için standing table reçetesi hangi uzman hekimler tarafından düzenlenebilir?,Ortopedi ve travmatoloji veya fiziksel tıp ve rehabilitasyon veya nöroloji uzman hekimlerinden herhangi üç uzman hekim.,3.3
80,Zor,"Standing table için düzenlenecek sağlık kurulu raporunda, hastanın hangi klinik tablolara sahip olması veya hangi nörolojik defisitlere bağlı olarak ayakta durmanın tedaviye katkı sağlayacağının belirtilmesi gerekir?",Herhangi bir nedene bağlı tetrapleji veya parapleji klinik tablosu veya diğer nörolojk defisitlere bağlı olarak ayakta durmanın tedaviye katkı sağlayacağının belirtilmesi gerekir.,3.3
81,Kolay,Posakonazolün parenteral formları hangi durumlarda kullanılabilir?,Oral formlarını kullanamayan hastalarda.,4.2
82,Zor,Amfoterisin B'ye refrakter invazif aspergilozis tedavisinde hangi ilaçlara refrakterlik aranmaktadır?,"Amfoterisin B, lipozomal amfoterisin B veya vorikonazol tedavilerine.",4.2
83,Kolay,Pazopanib hangi kanser türlerinin tedavisinde kullanılabilir?,Renal hücreli karsinom ve metastatik sarkom.,4.2
84,Zor,"Hangi durumlarda Temsirolimus, sunitinib, sorafenib ve pazopanib etkin maddeli ilaçlar arasında geçiş yapılabilir?",Sadece tolere edilemeyen majör yan etki (Grade 3-4 seviyesinde) olması durumunda.,4.2
85,Kolay,Vorikonazol 200 mg tablet hangi endikasyonda kullanılabilir?,Aspergilloz ve candida enfeksiyonlarının profilaksi endikasyonunda kullanılır.,4.2
86,Zor,Vorikonazol 200 mg tabletin hematopoetik kök hücre nakli alıcısı hastalarda kullanım şartı nedir?,Nötropeni olması beklenmelidir.,4.2
87,Zorluk Derecesi (Kolay/Zor),SUT eki listelerden çıkarılan tıbbi malzemelerin bedellerinin Kurumca karşılanmayacağına dair hükümler hangi tarihten itibaren geçerli olacaktır?,01.05.2013 tarihinden itibaren.,6.3
88,Zorluk Derecesi (Kolay/Zor),"SUT eki listelerde bulunan veya yeni eklenen tıbbi malzemelere ait konsey, sağlık kurulu raporu veya endikasyon tanımlaması gibi ilave kuralların uygulanmasına ilişkin hükümler ne zaman yürürlüğe girecektir?",01.05.2013 tarihinden itibaren.,6.3
89,Kolay,Yoğun bakım hizmetlerinde ilave ücret alınır mı?,"Hayır, alınmaz.",1.9
90,Zor,Hangi tarihten itibaren SUT eki EK-2/G Listesinde yer alan işlemlerde ilave ücret alınmayacaktır?,09/04/2020,1.9
91,Zorluk Derecesi (Kolay/Zor),Hangi formdaki ilaçlar 4.2.24.B numaralı maddede yer alan hükümlerden istisnadır?,İnhale formları.,4.2
92,Zorluk Derecesi (Kolay/Zor),"Üçlü kombinasyon tedavilerinde, hangi durumlarda inhale kortikosteroid (İKS) ve uzun etkili solunum yolu beta-agonistleri (LABA) veya uzun etkili solunum yolu beta-agonistleri (LABA) ve uzun etkili antikolinerjikler (LAMA) ile tedavi edildiği halde yeterli yanıt alınamayan hastaların idame tedavisi Kurumca karşılanır?",Sık atak geçiren (yılda 2 ve üzeri atak veya 1 ve üzeri yatarak tedavi) ve dispnesi olan (mMrc 2 ve üzeri veya CAT skoru 10 ve üzeri) orta-ağır kronik obstrüktif akciğer hastalığı (KOAH) olan erişkin hastaların uzman hekim raporunda belirtilmesi halinde.,4.2
93,Kolay,Paget hastalığında uzman hekim raporunun süresi ne kadardır?,1 yıldır.,4.2
94,Zor,"Osteoporoz tedavisinde teriparatid kullanan bir hastanın tedaviye yanıt vermesi durumunda, bu durumun kanıtlandığı raporla en fazla ne kadar süreyle tedaviye devam edilebilir?",52 hafta.,4.2
95,Kolay,"Sağlık hizmeti sunucuları, kişilerin müracaatı aşamasında kimlik tespiti için hangi belgeleri kullanabilir?","Nüfus cüzdanı, sürücü belgesi, evlenme cüzdanı, pasaport veya Kurum sağlık kartı.",1.6
96,Zor,Kimlik tespiti ve biyometrik doğrulama işlemlerini usulüne uygun yapmayan ve bu nedenle Kurumun zarara uğramasına sebebiyet veren sağlık hizmeti sunucularına nasıl bir yaptırım uygulanır?,Ödenen tutar geri alınır.,1.6
97,Kolay,"İkinci ve üçüncü basamak sağlık hizmeti sunucularında, hastanın ayaktan başvurduğu gün dahil kaç gün içinde aynı uzmanlık dalı için '520032 Uzaktan hasta değerlendirmeye yönelik sağlık hizmetleri' işlemi faturalandırılamaz?",10 (on) gün,2.1
98,Zor,"Bir hastanın aynı sağlık hizmeti sunucusuna acil servis başvurusu hariç, daha önce aynı uzmanlık dalı için ayaktan başvurusunda '520032 Uzaktan hasta değerlendirmeye yönelik sağlık hizmetleri' işleminin faturalandırılması halinde, hangi listede yer alan tutar faturalandırılamaz?",SUT Eki EK-2/A Listesinde,2.1
99,Kolay,Sitogenetik tetkik istem formunda hekim tarafından belirtilmesi gerekenler nelerdir?,"Tetkik endikasyonu, tanı için gerekliliği ve tedavi protokolünü değiştirip değiştirmediği.",2.4
100,Zor,"Sitogenetik tetkiklerde, hekimin istem formunda belirttiği bilgilerin bir örneği nereye eklenmelidir?",Faturaya.,2.4
